agno,lenguaje,matematicas
1999,241.39339339339338,242.2942942942943
2002,244.26488095238096,239.9077380952381
2005,248.11988304093566,239.33625730994152
2006,248.97084548104957,239.03790087463557
2007,249.8095238095238,237.8779761904762
2008,256.0353982300885,238.976401179941
2009,256.3790087463557,244.2274052478134
2010,265.6744186046512,244.5610465116279
2011,263.4970930232558,252.6046511627907
2012,249.5520231213873,251.95375722543352
2013,259.81924198250726,250.0524781341108
2014,259.77101449275364,249.50144927536232
2015,261.69565217391306,253.26956521739132
2016,262.3652173913043,254.20579710144926
2017,264.17391304347825,253.44057971014493
2018,264.78840579710146,251.61449275362318
2022,261.29855072463766,243.57971014492753
2023,264.9970930232558,251.0174418604651
2024,272.94476744186045,259.19767441860466
