agno,region,provincia,comuna,lenguaje,matematicas
1999,aysén del general carlos ibáñez del campo,aysén,aysén,248.0,244.0
1999,valparaiso,san antonio,algarrobo,234.0,238.0
1999,metropolitana,melipilla,alhué,240.0,248.0
1999,atacama,huasco,alto del carmen,252.0,267.0
1999,los lagos,chiloé,ancud,252.0,251.0
1999,coquimbo,elqui,andacollo,247.0,241.0
1999,la araucanía,malleco,angol,247.0,248.0
1999,antofagasta,antofagasta,antofagasta,248.0,249.0
1999,biobío,biobío,antuco,226.0,218.0
1999,biobío,arauco,arauco,238.0,239.0
1999,arica y parinacota,arica,arica,253.0,254.0
1999,metropolitana,maipo,buin,244.0,246.0
1999,biobío,ñuble,bulnes,228.0,230.0
1999,valparaiso,petorca,cabildo,245.0,248.0
1999,biobío,biobío,cabrero,240.0,236.0
1999,antofagasta,el loa,calama,250.0,249.0
1999,los lagos,llanquihue,calbuco,249.0,248.0
1999,atacama,copiapó,caldera,250.0,254.0
1999,valparaiso,quillota,calera,243.0,244.0
1999,metropolitana,maipo,calera de tango,236.0,243.0
1999,valparaiso,los andes,calle larga,243.0,228.0
1999,tarapacá,tamarugal,camiña,215.0,237.0
1999,coquimbo,choapa,canela,235.0,240.0
1999,la araucanía,cautín,carahue,216.0,225.0
1999,valparaiso,san antonio,cartagena,239.0,237.0
1999,valparaiso,valparaíso,casablanca,239.0,239.0
1999,los lagos,chiloé,castro,260.0,254.0
1999,valparaiso,san felipe de aconcagua,catemu,238.0,232.0
1999,maule,cauquenes,cauquenes,241.0,245.0
1999,biobío,arauco,cañete,240.0,238.0
1999,metropolitana,santiago,cerrillos,248.0,246.0
1999,metropolitana,santiago,cerro navia,232.0,238.0
1999,los lagos,palena,chaitén,263.0,260.0
1999,maule,cauquenes,chanco,221.0,222.0
1999,atacama,chañaral,chañaral,257.0,253.0
1999,biobío,concepción,chiguayante,256.0,255.0
1999,biobío,ñuble,chillán,256.0,254.0
1999,biobío,ñuble,chillán viejo,233.0,232.0
1999,libertador general bernardo o'higgins,colchagua,chimbarongo,246.0,246.0
1999,los lagos,chiloé,chonchi,231.0,240.0
1999,libertador general bernardo o'higgins,colchagua,chépica,245.0,240.0
1999,aysén del general carlos ibáñez del campo,aysén,cisnes,236.0,249.0
1999,biobío,ñuble,cobquecura,255.0,253.0
1999,los lagos,llanquihue,cochamó,220.0,210.0
1999,aysén del general carlos ibáñez del campo,capitán prat,cochrane,269.0,266.0
1999,libertador general bernardo o'higgins,cachapoal,codegua,227.0,229.0
1999,biobío,ñuble,coelemu,241.0,244.0
1999,aysén del general carlos ibáñez del campo,coyhaique,coyhaique,261.0,252.0
1999,biobío,ñuble,coihueco,221.0,226.0
1999,libertador general bernardo o'higgins,cachapoal,coinco,237.0,232.0
1999,maule,linares,colbún,238.0,238.0
1999,tarapacá,tamarugal,colchane,186.0,196.0
1999,metropolitana,chacabuco,colina,241.0,240.0
1999,la araucanía,malleco,collipulli,233.0,232.0
1999,libertador general bernardo o'higgins,cachapoal,coltauco,232.0,233.0
1999,coquimbo,limarí,combarbalá,252.0,241.0
1999,biobío,concepción,concepción,265.0,264.0
1999,metropolitana,santiago,conchalí,244.0,247.0
1999,valparaiso,valparaíso,concón,249.0,246.0
1999,maule,talca,constitución,243.0,245.0
1999,biobío,arauco,contulmo,238.0,244.0
1999,atacama,copiapó,copiapó,253.0,253.0
1999,coquimbo,elqui,coquimbo,247.0,247.0
1999,biobío,concepción,coronel,246.0,245.0
1999,los ríos,valdivia,corral,229.0,228.0
1999,la araucanía,cautín,cunco,228.0,230.0
1999,la araucanía,malleco,curacautín,238.0,245.0
1999,metropolitana,melipilla,curacaví,234.0,232.0
1999,los lagos,chiloé,curaco de vélez,256.0,261.0
1999,biobío,arauco,curanilahue,246.0,249.0
1999,la araucanía,cautín,curarrehue,212.0,218.0
1999,maule,talca,curepto,241.0,247.0
1999,maule,curicó,curicó,254.0,252.0
1999,los lagos,chiloé,dalcahue,248.0,248.0
1999,atacama,chañaral,diego de almagro,253.0,252.0
1999,libertador general bernardo o'higgins,cachapoal,doñihue,245.0,243.0
1999,metropolitana,santiago,el bosque,243.0,245.0
1999,biobío,ñuble,el carmen,227.0,229.0
1999,metropolitana,talagante,el monte,237.0,236.0
1999,valparaiso,san antonio,el quisco,241.0,244.0
1999,valparaiso,san antonio,el tabo,244.0,241.0
1999,maule,talca,empedrado,226.0,234.0
1999,la araucanía,malleco,ercilla,213.0,228.0
1999,metropolitana,santiago,estación central,257.0,257.0
1999,biobío,concepción,florida,229.0,235.0
1999,la araucanía,cautín,freire,231.0,230.0
1999,atacama,huasco,freirina,239.0,241.0
1999,los lagos,llanquihue,fresia,238.0,243.0
1999,los lagos,llanquihue,frutillar,243.0,241.0
1999,los lagos,palena,futaleufú,261.0,286.0
1999,los ríos,del ranco,futrono,235.0,234.0
1999,la araucanía,cautín,galvarino,217.0,233.0
1999,la araucanía,cautín,gorbea,242.0,238.0
1999,libertador general bernardo o'higgins,cachapoal,graneros,239.0,241.0
1999,aysén del general carlos ibáñez del campo,aysén,guaitecas,219.0,205.0
1999,valparaiso,quillota,hijuelas,232.0,236.0
1999,los lagos,palena,hualaihué,235.0,234.0
1999,maule,curicó,hualañé,258.0,262.0
1999,biobío,concepción,hualqui,246.0,238.0
1999,tarapacá,tamarugal,huara,242.0,230.0
1999,atacama,huasco,huasco,240.0,238.0
1999,metropolitana,santiago,huechuraba,228.0,231.0
1999,coquimbo,choapa,illapel,247.0,246.0
1999,metropolitana,santiago,independencia,264.0,260.0
1999,tarapacá,iquique,iquique,249.0,249.0
1999,metropolitana,talagante,isla de maipo,220.0,221.0
1999,valparaiso,isla de pascua,isla de pascua,269.0,263.0
1999,valparaiso,valparaíso,juan fernández,240.0,215.0
1999,metropolitana,santiago,la cisterna,258.0,255.0
1999,valparaiso,quillota,la cruz,249.0,243.0
1999,libertador general bernardo o'higgins,cardenal caro,la estrella,237.0,231.0
1999,metropolitana,santiago,la florida,257.0,256.0
1999,metropolitana,santiago,la granja,245.0,246.0
1999,coquimbo,elqui,la higuera,212.0,219.0
1999,valparaiso,petorca,la ligua,254.0,261.0
1999,metropolitana,santiago,la pintana,227.0,230.0
1999,metropolitana,santiago,la reina,273.0,276.0
1999,coquimbo,elqui,la serena,259.0,254.0
1999,los ríos,del ranco,la unión,254.0,253.0
1999,los ríos,del ranco,lago ranco,231.0,234.0
1999,magallanes y de la antártica chilena,magallanes,laguna blanca,284.0,292.0
1999,biobío,biobío,laja,253.0,257.0
1999,metropolitana,chacabuco,lampa,227.0,222.0
1999,los ríos,valdivia,lanco,228.0,224.0
1999,libertador general bernardo o'higgins,cachapoal,las cabras,241.0,248.0
1999,metropolitana,santiago,las condes,294.0,293.0
1999,la araucanía,cautín,lautaro,241.0,239.0
1999,biobío,arauco,lebu,240.0,239.0
1999,maule,curicó,licantén,257.0,265.0
1999,valparaiso,marga marga,limache,246.0,242.0
1999,maule,linares,linares,254.0,253.0
1999,libertador general bernardo o'higgins,cardenal caro,litueche,232.0,234.0
1999,valparaiso,san felipe de aconcagua,llaillay,239.0,238.0
1999,los lagos,llanquihue,llanquihue,239.0,240.0
1999,metropolitana,santiago,lo barnechea,276.0,277.0
1999,metropolitana,santiago,lo espejo,238.0,244.0
1999,metropolitana,santiago,lo prado,237.0,238.0
1999,libertador general bernardo o'higgins,colchagua,lolol,244.0,259.0
1999,la araucanía,cautín,loncoche,252.0,247.0
1999,maule,linares,longaví,226.0,226.0
1999,la araucanía,malleco,lonquimay,225.0,240.0
1999,valparaiso,los andes,los andes,256.0,254.0
1999,los ríos,valdivia,los lagos,234.0,232.0
1999,los lagos,llanquihue,los muermos,240.0,240.0
1999,la araucanía,malleco,los sauces,219.0,233.0
1999,coquimbo,choapa,los vilos,233.0,236.0
1999,biobío,arauco,los álamos,231.0,231.0
1999,biobío,biobío,los ángeles,248.0,246.0
1999,biobío,concepción,lota,244.0,242.0
1999,la araucanía,malleco,lumaco,214.0,218.0
1999,libertador general bernardo o'higgins,cachapoal,machalí,234.0,234.0
1999,metropolitana,santiago,macul,260.0,260.0
1999,metropolitana,santiago,maipú,260.0,259.0
1999,libertador general bernardo o'higgins,cachapoal,malloa,230.0,236.0
1999,libertador general bernardo o'higgins,cardenal caro,marchihue,257.0,268.0
1999,los ríos,valdivia,mariquina,234.0,232.0
1999,antofagasta,tocopilla,maría elena,255.0,259.0
1999,metropolitana,melipilla,maría pinto,215.0,217.0
1999,maule,talca,maule,234.0,245.0
1999,los lagos,llanquihue,maullín,236.0,249.0
1999,antofagasta,antofagasta,mejillones,225.0,237.0
1999,la araucanía,cautín,melipeuco,222.0,219.0
1999,metropolitana,melipilla,melipilla,245.0,246.0
1999,maule,curicó,molina,244.0,244.0
1999,coquimbo,limarí,monte patria,223.0,225.0
1999,libertador general bernardo o'higgins,cachapoal,mostazal,234.0,235.0
1999,biobío,biobío,mulchén,239.0,247.0
1999,los ríos,valdivia,máfil,223.0,230.0
